Postal code,Borough,Neighborhood,Latitude,Longitude
M2H,North York,Hillcrest Village,43.8037622,-79.3634517
M2J,North York,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557
M2K,North York,Bayview Village,43.7869473,-79.385975
M2L,North York,"York Mills, Silver Hills",43.7574902,-79.37471409999999
M2M,North York,"Willowdale, Newtonbrook",43.789053,-79.40849279999999
M2N,North York,Willowdale,43.7701199,-79.40849279999999
M2P,North York,York Mills West,43.752758299999996,-79.4000493
M2R,North York,Willowdale,43.7827364,-79.4422593
M3A,North York,Parkwoods,43.7532586,-79.3296565
M3B,North York,Don Mills,43.745905799999996,-79.352188
M3C,North York,Don Mills,43.72589970000001,-79.340923
M3H,North York,"Bathurst Manor, Wilson Heights, Downsview North",43.7543283,-79.4422593
M3J,North York,"Northwood Park, York University",43.7679803,-79.48726190000001
M3K,North York,Downsview,43.737473200000004,-79.46476329999999
M3L,North York,Downsview,43.7390146,-79.5069436
M3M,North York,Downsview,43.7284964,-79.49569740000001
M3N,North York,Downsview,43.7616313,-79.52099940000001
M4A,North York,Victoria Village,43.725882299999995,-79.31557159999998
M5M,North York,"Bedford Park, Lawrence Manor East",43.7332825,-79.4197497
M6A,North York,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999
M6B,North York,Glencairn,43.709577,-79.44507259999999
M6L,North York,"North Park, Maple Leaf Park, Upwood Park",43.713756200000006,-79.4900738
M9L,North York,Humber Summit,43.7563033,-79.56596329999999
M9M,North York,"Humberlea, Emery",43.7247659,-79.53224240000002
